#direction
1 db
1h DB
2 d
2h D
3 df
3h DF
4 b
4h B
n N
6 f
6h F
7 ub
7h UB
8 u
8h U
9 uf
9h UF
6n23 cd
236 qcf
214 qcb
41236 hcf
63214 hbf
#button
LK 3
LKh 3~
LP 1
LPh 1~
RK 4
RKh 4~
RK*4 4444
RP 2
RPh 2~
WK 3+4
WKh 3+4~
WP 1+2
WPh 1+2~
WL 1+3
WLh 1+3~
WR 2+4
WRh 2+4~
#pose
しゃがみ中 FC
背向け中 BT
横移動中 SS
立ち途中 WS
走り中 WR
各連係中 连携中
金鶏独立中 金鸡中
右構え中 右构中
背向け中 BT
回転中 回转中
走り中 WR
HMS中 HMS
気合い溜め中 爆气中
BS中 BS中
BT中 BT中
CD2中 CD2中
CD中 CD中
CJ中 CJ中
CW中 CW中
DB中 DB中
DE中 DE中
DF中 DF中
DF背向け中 DF背向中
DR中 DR中
DUK中 DUK中
EC中 EC中
FLK中 FLK中
FS中 FS中
HF中 HF中
HMS中 HMS中
HS中 HS中
IK中 IK中
LD中 LD中
LF中 LF中
MM中 MM中
MP中 MP中
MSC中 MSC中
MS中 MS中
MT中 MT中
PD中 PD中
PKB中 PKB中
QT中 QT中
RF中 RF中
SB中 SB中
SD中 SD中
SE中 SE中
SS中 SS中
SW中 SW中
チェンジ中 换人中
うつ伏せダウン中 头前趴伏中
うつ伏せ相手頭側ダウン中 头前趴伏中
WL中 WL中
WR中 WR中
アリキック中 d3+4444中(1~3发均可)
クラウチング中 CC中
コサック中 db34循环中
ザ･ゼン中 坐构(d3+4)中
スウェー中 后仰构(b3|4)中
デビル中 恶魔状态中
相手ダウン中 对方倒地中
横移動中 横移中
フラミンゴ中 白构中(b4)
ブリッジ中 桥构中(db1+2)
ブート中 f3+4中
ローリング中 前滚构中(f3)
上記連携中 前一招连携中
不知火型中 不知火中
仆歩中 仆步中
仰向けダウン中 仰躺脚向对方中
仰向け寝構え中 寝构仰躺中 
仰向け相手頭側ダウン中 仰躺头向对方中
出雲中 出云中
刹那駆け中 刹那中
前転中 前转中
千覚中 千觉中
卍あぐら中 卍坐中 
卍芟2〜5発目中 卍芟(db3...)2〜5下中
卍蜻蛉中 卍蜻蛉
右構え中 右构中
右構え背向け中 右构背向中
右横移動中 RSS
各種連携〜寝構え中 寝构中
土噸中 土遁(d1+2)中
地雷刃中 地雷刃中
地雷猛馬中 地雷猛犸中
奈落払い中 奈落中
如意動中 如意动中
如意翔中 如意翔中
妃睡鳥中 妃睡鸟中
ダウン中 倒地中
寝構え中 寝构中
左構え背向け中 左构背向中
左横移動中 LSS
幻日中 幻日中
幻霧中 幻雾中
座り中 坐构中
擺歩中 摆步中
旋風連脚中 旋风连脚中
構え中 构中
横移動中 SS
横避け中 横避中
残心･弐中 残心二中
毒溜中 毒溜中
気合い溜め中 爆气中
無刀ノ極中 无刀构中
無想中 无想构中
無笹火中 無笹火中 
特殊構え中 构中
發雷中 发雷中
相手ダウン中 对方倒地中 
立ち途中 WS
股割り中 股割构中
背刃落中 背刃落中 
葛1発目中 葛1发中
葛2〜5発目中 葛2~5发中
虎の構え中 虎构
虚歩中 虚步中
蛇の構え中 蛇构中
鶴の構え中 鹤构中
豹の構え中 豹构中
走り中 WR
足側うつ伏せ寝構 寝构趴脚向对方
足側仰向け寝構 寝构仰脚向对方
転身歩中 转身步中
逆立ち中 倒立中
酔歩中 醉步中
金打中 金打中
金鶏中 金鸡中
雲手中 云手中
頭側うつ伏せ寝構え中 寝构趴头向对方
頭側仰向け寝構え中 寝构仰头向对方
飛空中 飞空中
鳳凰の構え中 凤构中
鶴の構え中 龙构中
鷂子入林中 鹞子入林中
龍の構え中 龙构中
#other
or |
【 [
】 ]
〜 ~
, ,
+ +
ホールド ~
ヒット 命中时
ガード 防御时
捌き成功時 架招时
( (
) )
(2回転) (2圈)
(3回転) (3圈)
(4回転) (4圈)
(5回転) (5圈)
(6回転〜) (6圈)
各種連携 入构
正面CH 正面CH时
後 ，
最大伸 最远时
DF背向 DF背向
FS成功時 FS成功时
LP捌き成功時 架招对方左拳成功
RP捌き成功時 架招对方右拳成功
挑発後 挑衅后(1+2+3)
気合い溜め後 爆气后
寝構 寝构
